  id   |                           character                           | order_of_appearance | movie_id | person_ext_id 
 24906 | Nic                                                           |                   2 |     3312 |        570509
 24907 | She                                                           |                   1 |     3312 |          4273
 24908 | Hector                                                        |                   7 |     3313 |        143391
 24909 | Balzer                                                        |                  14 |     3313 |         36883
 24910 | Prisoner 3                                                    |                  34 |     3313 |       4590433
 24911 | Anton Eklund                                                  |                   4 |     3313 |       1428295
 24912 | Prisoner 4                                                    |                  35 |     3313 |        119202
 24913 | Tater #2                                                      |                  25 |     3313 |       4010302
 24914 | Bondo                                                         |                  10 |     3313 |        234741
 24915 | Prisoner 2                                                    |                  33 |     3313 |       1425059
 24916 | Edel Helene                                                   |                   3 |     3313 |       2079854
 24917 | Ann Barbara                                                   |                   1 |     3313 |       1602451
 24918 | Workman                                                       |                  21 |     3313 |       1208770
 24919 | Coachman                                                      |                  22 |     3313 |        110604
 24920 | Anmai Mus (15)                                                |                  15 |     3313 |       3409835
 24921 | Preisler                                                      |                  12 |     3313 |       1178823
 24922 | Uldrich                                                       |                  19 |     3313 |       2148999
 24923 | Lauenfeldt                                                    |                   9 |     3313 |       2361843
 24924 | Frederik de Schinkel                                          |                   2 |     3313 |       1616206
 24925 | Servant                                                       |                  37 |     3313 |        228136
 24926 | Kristel                                                       |                  23 |     3313 |       3666566
 24927 | Rømer                                                         |                  17 |     3313 |       2078487
 24928 | Ludvig Kahlen                                                 |                   0 |     3313 |          1019
 24929 | Militærmand                                                   |                  26 |     3313 |       1617905
 24930 | Schinkel's Guard                                              |                  27 |     3313 |       2618532
 24931 | Prisoner 1                                                    |                  32 |     3313 |       4590428
 24932 | Anne                                                          |                  16 |     3313 |       2937962
 24933 | Colonist                                                      |                  11 |     3313 |       4437405
 24934 | Tater #1                                                      |                  24 |     3313 |       1714735
 24935 | Colonist Claus                                                |                  31 |     3313 |       1464083
 24936 | Kirstin                                                       |                  28 |     3313 |       1385586
 24937 | Estate Owner                                                  |                  38 |     3313 |        258901
 24938 | Johannes Eriksen                                              |                   6 |     3313 |       1921846
 24939 | Lise                                                          |                  20 |     3313 |       1309343
 24940 | Paulli                                                        |                   8 |     3313 |         82537
 24941 | Colonist Klein                                                |                  18 |     3313 |         17405
 24942 | Antonius' Girlfriend                                          |                  29 |     3313 |       1437255
 24943 | Trappaud                                                      |                   5 |     3313 |       1433475
 24944 | Kaspar                                                        |                  30 |     3313 |       4590427
 24945 | Anmai Mus                                                     |                  13 |     3313 |       4086969
 24946 | Prisoner 5                                                    |                  36 |     3313 |       1840673
 24947 |                                                               |                   6 |     3314 |       2595279
 24948 |                                                               |                   9 |     3314 |       4188789
 24949 | Stine                                                         |                   2 |     3314 |         32682
 24950 | Zaid                                                          |                   0 |     3314 |        234907
 24951 | Helle                                                         |                   1 |     3314 |         90514
 24952 |                                                               |                  11 |     3314 |       3549264
 24953 | Muhdir                                                        |                   4 |     3314 |       3236472
 24954 | Lars                                                          |                   3 |     3314 |       1178394
 24955 | Shahin                                                        |                   5 |     3314 |       2998429
 24956 |                                                               |                   8 |     3314 |       4188788
 24957 |                                                               |                  12 |     3314 |       4188792
 24958 |                                                               |                  10 |     3314 |       4188791
 24959 |                                                               |                   7 |     3314 |       4188787
 24960 | Merete Lynggaard                                              |                   2 |     3315 |          1017
 24961 | 'Lasse'                                                       |                   5 |     3315 |        137443
 24962 | Lasse's Foster Sister                                         |                  41 |     3315 |       1054389
 24963 | Anker                                                         |                   6 |     3315 |        230346
 24964 | Lis                                                           |                  23 |     3315 |       1560164
 24965 | Young Lasse                                                   |                  31 |     3315 |       1444453
 24966 | Viggas Rasmussen (voice)                                      |                  47 |     3315 |       3453356
 24967 | Carl Mørck                                                    |                   0 |     3315 |          1018
 24968 | Jesper                                                        |                  18 |     3315 |       1460361
 24969 | Young Daniel Hale                                             |                  42 |     3315 |       1560176
 24970 | Hafez el-Assad                                                |                   1 |     3315 |         57012
 24971 | Lasse's Foster Mother                                         |                  38 |     3315 |       1560174
 24972 | Young Merete                                                  |                  21 |     3315 |       1445297
 24973 | Hardy                                                         |                   7 |     3315 |          6123
 24974 | Egely Resident                                                |                  15 |     3315 |       1543783
